m_row$$,awg_id,kultur,ausgenommen,sortier_nr
AAAxb2AAEAAACXtAA7,00A584-61/00-031,TTLSS,N,1.0
AAAxb2AAEAAACXtAA8,00A584-60/00-032,PIBST,N,1.0
AAAxb2AAEAAACXtAA9,00A584-61/00-032,PIBST,N,1.0
AAAxb2AAEAAACXtAA+,00A584-60/00-033,PIBSA,N,1.0
AAAxb2AAEAAACXtAA/,00A584-61/00-033,PIBSA,N,1.0
AAAxb2AAEAAACXtABA,00A584-60/00-034,SOLTU,N,1.0
AAAxb2AAEAAACXtABB,00A584-61/00-034,SOLTU,N,1.0
AAAxb2AAEAAACXtABC,00A584-60/00-035,PIBST,N,1.0
AAAxb2AAEAAACXtABD,00A584-61/00-035,PIBST,N,1.0
AAAxb2AAEAAACXtABE,00B242-60/00-001,TRZSS,N,1.0
AAAxb2AAEAAACXtABF,00B242-60/00-002,SECCE,N,1.0
AAAxb2AAEAAACXtABG,00B242-60/00-002,TTLSS,N,2.0
AAAxb2AAEAAACXtABH,00B242-60/00-003,HORVX,N,1.0
AAAxb2AAEAAACXtABI,00B242-60/00-004,AVESS,N,1.0
AAAxb2AAEAAACXtABJ,00B242-60/00-005,BRSNN,N,1.0
AAAxb2AAEAAACXtABK,00B242-60/00-006,PIBSA,N,1.0
AAAxb2AAEAAACXtABL,00B242-60/00-007,VICFM,N,1.0
AAAxb2AAEAAACXtABM,00B242-60/00-008,LUPSS,N,1.0
AAAxb2AAEAAACXtABN,00B242-60/00-009,VICFJ,N,1.0
AAAxb2AAEAAACXtABO,00B242-60/00-010,PIBST,N,1.0
AAAxb2AAEAAACXtABP,00B242-60/00-011,PHSVN,N,1.0
AAAxb2AAEAAACXtABQ,00B242-60/00-012,ALLCE,N,1.0
AAAxb2AAEAAACXtABR,00B242-60/00-013,ALLSA,N,1.0
AAAxb2AAEAAACXtABS,00B242-60/00-013,ALLAS,N,2.0
AAAxb2AAEAAACXtABT,00B242-60/00-014,ALLPO,N,1.0
AAAxb2AAEAAACXtABU,00B242-60/00-015,DAUCS,N,1.0
AAAxb2AAEAAACXtABV,00B242-60/00-016,ASPOF,N,1.0
AAAxb2AAEAAACXtABW,00B242-60/00-017,NNNKK,N,1.0
AAAxb2AAEAAACXtABX,00B242-60/00-017,BRSOB,N,2.0
AAAxb2AAEAAACXtABY,00B242-60/00-017,BRSOC,N,3.0
AAAxb2AAEAAACXtABZ,00B242-60/00-017,BRSOA,N,4.0
AAAxb2AAEAAACXtABa,00B242-60/00-017,BRSOK,N,5.0
AAAxb2AAEAAACXtABb,00B242-60/00-018,FRAAN,N,1.0
AAAxb2AAEAAACXtABc,00B242-60/00-019,FRAAN,N,1.0
AAAxb2AAEAAACXtABd,00B242-60/00-020,LACSS,N,1.0
