kode,kodeliste,sprache,kodetext,sperre
VH322,74,DE,"Der Gehalt an N-Nitroso-dipropylamin (NDPA) im Pflanzenschutzmittel darf 0,5 mg/kg nicht überschreiten.",N
X58,66,DE,Octansäureester,N
PBX,28,DE,Schütthöhe bis 10 m,N
NN385,74,GB,The product is classified as harmful for populations of the species Diaeretiella rapae (braconid wasp).,N
LX,98,DE,Larve,N
LJ,98,DE,Junglarven,N
LA,98,DE,Altlarven,N
ZX,98,DE,Zysten,N
IX,98,DE,Imago,N
EL,98,DE,Eier und Larven,N
BEIBG,30,DE,bei Befall ab Getreidestadium 51 (Beginn des Ährenschiebens),N
BIG61,30,DE,bis Getreidestadium 61,N
A1012,75,DE,bis 2 % organische Substanz,N
A1013,75,DE,bis 3 % organische Substanz,N
A1015,75,DE,bis 5 % organische Substanz,N
B2DVS,30,DE,bis 2 Tage vor der Saat,N
B3DVS,30,DE,bis 3 Tage vor der Saat,N
BSCKH,30,DE,bis 5 cm Kartoffelhöhe,N
A1024,75,DE,ab 4 % organische Substanz,N
BH9,28,DE,humose Böden,N
VBBXX,30,DE,vor der Beerenblüte,N
23,99,DE,23,J
VBOXX,30,DE,vor der Bodenbearbeitung,N
21,99,DE,21,J
25,99,DE,25,J
AA,75,DE,Anzahl der Behandlungen,N
STROHA,89,DE,Gegen die Verwendung von Getreidestroh zum Zwecke der Tierhaltung und Tierfütterung bestehen keine Bedenken.,N
FXXUN,36,DE,Uncinula necator,N
FXXFM,36,DE,Falscher Mehltau,N
FXXRW,36,DE,Rote Wurzelfäule,N
FXXPF,36,DE,Papierfleckenkrankheit,N
WA053,75,DE,Wasseraufwand in Steillagen bis 2000 l/ha,N
VN520,74,DE,"Gemüse (ausgen. Gemüsekohl, Möhren, Porree , Rettich, Radieschen und  Zwiebeln) frühestens ein Jahr nach der Anwendung anbauen.",N
VA453,74,DE,"Nur solches Getreide behandeln, das zuvor noch keiner Pirimiphos-methyl-Behandlung ausgesetzt war.",N
VV552,74,DE,Mit Pirimiphos-methyl behandeltes Getreide nicht zur Erzeugung von Speisekleie verwenden.,N
NN330,74,GB,The product is classified as harmful for populations of the species Pardosa amentata and P. palustris (lycosid spiders).,N
NN331,74,GB,The product is classified as harmful for populations of the species Lepthyphantes tenuis (linyphiid spider).,N
NN332,74,GB,The product is classified as harmful for populations of the species Amblyseius potentillae and A. finlandicus (predatory mites).,N
NN3321,74,GB,The product is classified as harmful for populations of the species Amblyseius potentillae (predatory mite).,N
NN3322,74,GB,The product is classified as harmful for populations of the species Amblyseius finlandicus (predatory mite).,J
NN3323,74,GB,The product is classified as harmful for populations of the species Amblyseius andersoni (predatory mite).,N
NN334,74,GB,The product is classified as harmful for populations of the species Typhlodromus pyri (predatory mite).,N
NN335,74,GB,The product is classified as harmful for populations of the species Erigone atra (erigonid spider).,N
NN3511,74,GB,The product is classified as harmful for populations of the species Orius insidiosus (predatory anthocorid bug).,N
NN360,74,GB,The product is classified as harmful for populations of the species Aleochara bilineata (staphylinid beetle).,N
NN361,74,GB,The product is classified as harmful for populations of the species Coccinella septempunctata (seven-spotted ladybird).,N
NN364,74,GB,The product is classified as harmful for populations of the species Bembidion lampros (ground beetle).,N
NN281,74,GB,The product is classified as slightly harmful for populations of the species Phygadeuon trichops (ichneumonid wasp).,N
NN283,74,GB,The product is classified as slightly harmful for populations of the species Encarsia formosa (chalcid wasp).,N
NN284,74,GB,The product is classified as slightly harmful for populations of the species Aphidius matricariae and A. rhopalosphi (braconid wasps).,N
