m_row$$,awg_id,aufwandbedingung,sortier_nr,m_aufwand,m_aufwand_einheit,w_aufwand_von,w_aufwand_bis,w_aufwand_einheit
AAAxbuAAEAAAC9nABS,024459-60/00-003,ES61,2,1.2,KH,,800.0,LH
AAAxbuAAEAAAC9nABT,024459-61/00-003,ES61,2,1.2,KH,,800.0,LH
AAAxbuAAEAAAC9nABU,024459-60/01-001,BAW,1,0.4,KH,,400.0,LH
AAAxbuAAEAAAC9nABV,024459-61/01-001,BAW,1,0.4,KH,,400.0,LH
AAAxbuAAEAAAC9nABW,024459-60/01-001,ES61,2,0.8,KH,,800.0,LH
AAAxbuAAEAAAC9nABX,024459-61/01-001,ES61,2,0.8,KH,,800.0,LH
AAAxbuAAEAAAC9nABY,024459-60/01-001,ES71,3,1.2,KH,,1200.0,LH
AAAxbuAAEAAAC9nABZ,024459-61/01-001,ES71,3,1.2,KH,,1200.0,LH
AAAxbuAAEAAAC9nABa,024459-60/01-001,ES75,4,1.6,KH,,1600.0,LH
AAAxbuAAEAAAC9nABb,024459-61/01-001,ES75,4,1.6,KH,,1600.0,LH
AAAxbuAAEAAAC9nABc,024459-60/01-003,BAW,1,0.6,KH,,400.0,LH
AAAxbuAAEAAAC9nABd,024459-61/01-003,BAW,1,0.6,KH,,400.0,LH
AAAxbuAAEAAAC9nABe,024459-60/01-003,ES61,2,1.2,KH,,800.0,LH
AAAxbuAAEAAAC9nABf,024459-61/01-003,ES61,2,1.2,KH,,800.0,LH
AAAxbuAAEAAAC9nABg,024459-60/01-005,BAW,1,0.6,KH,,400.0,LH
AAAxbuAAEAAAC9nABh,024459-61/01-005,BAW,1,0.6,KH,,400.0,LH
AAAxbuAAEAAAC9nABi,024459-60/01-005,ES61,2,1.2,KH,,800.0,LH
AAAxbuAAEAAAC9nABj,024459-61/01-005,ES61,2,1.2,KH,,800.0,LH
AAAxbuAAEAAAC9nABk,024459-60/02-001,BC37,1,1.87,KH,,1000.0,LH
AAAxbuAAEAAAC9nABl,024459-61/02-001,BC37,1,1.87,KH,,1000.0,LH
AAAxbuAAEAAAC9nABm,024459-60/02-001,BC55,2,3.74,KH,,2000.0,LH
AAAxbuAAEAAAC9nABn,024459-61/02-001,BC55,2,3.74,KH,,2000.0,LH
AAAxbuAAEAAAC9nABo,024459-60/02-001,BC56,3,4.68,KH,,2500.0,LH
AAAxbuAAEAAAC9nABp,024459-61/02-001,BC56,3,4.68,KH,,2500.0,LH
AAAxbuAAEAAAC9nABq,00B114-60/01-001, ,1,3.5,LH,200.0,400.0,LH
AAAxbuAAEAAAC9nABr,00B114-60/01-008, ,1,3.0,LH,200.0,400.0,LH
AAAxbuAAEAAAC9nABs,00B114-60/01-009, ,1,3.0,LH,200.0,400.0,LH
AAAxbuAAEAAAC9nABt,00B114-60/01-012, ,1,3.5,LH,200.0,400.0,LH
AAAxbuAAEAAAC9nABu,00B114-60/01-013, ,1,5.0,LH,200.0,400.0,LH
AAAxbuAAEAAAC9nABv,00B114-60/01-014, ,1,3.0,LH,200.0,400.0,LH
AAAxbuAAEAAAC9nABw,007626-60/00-001,GR050,1,6.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nABx,007626-61/00-001,GR050,1,6.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nABy,007626-60/00-002,GR051,1,6.0,CZ,1.5,1.5,LB
AAAxbuAAEAAAC9nABz,007626-61/00-002,GR051,1,6.0,CZ,1.5,1.5,LB
AAAxbuAAEAAAC9nAB0,007626-60/00-003,GR050,1,6.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nAB1,007626-61/00-003,GR050,1,6.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nAB2,007626-60/00-004,GR051,1,6.0,CZ,1.5,1.5,LB
AAAxbuAAEAAAC9nAB3,007626-61/00-004,GR051,1,6.0,CZ,1.5,1.5,LB
AAAxbuAAEAAAC9nAB4,007626-60/00-005,GR050,1,6.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nAB5,007626-61/00-005,GR050,1,6.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nAB6,007626-60/00-006,GR051,1,6.0,CZ,1.5,1.5,LB
AAAxbuAAEAAAC9nAB7,007626-61/00-006,GR051,1,6.0,CZ,1.5,1.5,LB
AAAxbuAAEAAAC9nAB8,007626-60/00-007,GR050,1,4.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nAB9,007626-61/00-007,GR050,1,4.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nAB+,007626-60/00-008,GR050,1,4.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nAB/,007626-61/00-008,GR050,1,4.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nACA,007626-60/00-009,GR050,1,4.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nACB,007626-61/00-009,GR050,1,4.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nACC,007626-60/00-010,GR050,1,4.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nACD,007626-61/00-010,GR050,1,4.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nACE,007626-60/00-011,GR050,1,6.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nACF,007626-61/00-011,GR050,1,6.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nACG,007626-60/00-012,GR050,1,6.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nACH,007626-61/00-012,GR050,1,6.0,CZ,1.0,1.0,LB
AAAxbuAAEAAAC9nACI,007626-60/00-013,GR051,1,6.0,CZ,1.5,1.5,LB
AAAxbuAAEAAAC9nACJ,007626-61/00-013,GR051,1,6.0,CZ,1.5,1.5,LB
AAAxbuAAEAAAC9nACK,007626-60/00-014,GR051,1,6.0,CZ,1.5,1.5,LB
AAAxbuAAEAAAC9nACL,007626-61/00-014,GR051,1,6.0,CZ,1.5,1.5,LB
AAAxbuAAEAAAC9oAAA,008838-64/00-001,BAW,1,1.0,LH,,400.0,LH
AAAxbuAAEAAAC9oAAB,008838-65/00-001,BAW,1,1.0,LH,,400.0,LH
AAAxbuAAEAAAC9oAAC,008838-66/00-001,BAW,1,1.0,LH,,400.0,LH
AAAxbuAAEAAAC9oAAD,008838-60/00-001,ES61,2,2.0,LH,,800.0,LH
AAAxbuAAEAAAC9oAAE,008838-61/00-001,ES61,2,2.0,LH,,800.0,LH
AAAxbuAAEAAAC9oAAF,008838-62/00-001,ES61,2,2.0,LH,,800.0,LH
AAAxbuAAEAAAC9oAAG,008838-63/00-001,ES61,2,2.0,LH,,800.0,LH
AAAxbuAAEAAAC9oAAH,008838-64/00-001,ES61,2,2.0,LH,,800.0,LH
AAAxbuAAEAAAC9oAAI,008838-65/00-001,ES61,2,2.0,LH,,800.0,LH
AAAxbuAAEAAAC9oAAJ,008838-66/00-001,ES61,2,2.0,LH,,800.0,LH
AAAxbuAAEAAAC9oAAK,008838-60/00-001,ES71,3,3.0,LH,,1200.0,LH
AAAxbuAAEAAAC9oAAL,008838-61/00-001,ES71,3,3.0,LH,,1200.0,LH
AAAxbuAAEAAAC9oAAM,008838-62/00-001,ES71,3,3.0,LH,,1200.0,LH
AAAxbuAAEAAAC9oAAN,008838-63/00-001,ES71,3,3.0,LH,,1200.0,LH
AAAxbuAAEAAAC9oAAO,008838-64/00-001,ES71,3,3.0,LH,,1200.0,LH
