m_row$$,awg_id,schadorg,ausgenommen,sortier_nr
AAAxcCAAEAAACfdABf,025388-62/00-004,MICRAG,N,2.0
AAAxcCAAEAAACfdABg,025388-62/00-004,MICRAR,N,1.0
AAAxcCAAEAAACfdABh,025388-62/00-004,CLETGL,N,3.0
AAAxcCAAEAAACfdABi,025388-62/00-006,MICRAR,N,1.0
AAAxcCAAEAAACfdABj,025388-62/00-006,MICRAG,N,2.0
AAAxcCAAEAAACfdABk,025388-62/00-007,MICRAR,N,1.0
AAAxcCAAEAAACfdABl,025388-62/00-007,MICRAG,N,2.0
AAAxcCAAEAAACfdABm,025388-62/00-008,MICRAR,N,1.0
AAAxcCAAEAAACfdABn,025388-62/00-008,MICRAG,N,2.0
AAAxcCAAEAAACfdABo,025388-62/00-009,MICRAR,N,1.0
AAAxcCAAEAAACfdABp,025388-62/00-009,MICRAG,N,2.0
AAAxcCAAEAAACfdABq,025388-62/00-009,CLETGL,N,3.0
AAAxcCAAEAAACfdABr,025388-62/00-011,MICRAG,N,2.0
AAAxcCAAEAAACfdABs,025388-62/00-011,MICRAR,N,1.0
AAAxcCAAEAAACfdABt,025388-62/00-011,CLETGL,N,3.0
AAAxcCAAEAAACfdABu,025388-62/00-012,MICRAG,N,2.0
AAAxcCAAEAAACfdABv,025388-62/00-012,MICRAR,N,1.0
AAAxcCAAEAAACfdABw,025388-62/00-012,CLETGL,N,3.0
AAAxcCAAEAAACfdABx,025388-62/00-013,MICRAG,N,2.0
AAAxcCAAEAAACfdABy,025388-62/00-013,MICRAR,N,1.0
AAAxcCAAEAAACfdABz,025388-62/00-013,CLETGL,N,3.0
AAAxcCAAEAAACfdAB0,025388-62/00-014,MICRAG,N,2.0
AAAxcCAAEAAACfdAB1,025388-62/00-014,MICRAR,N,1.0
AAAxcCAAEAAACfdAB2,025388-62/00-014,CLETGL,N,3.0
AAAxcCAAEAAACfdAB3,025388-62/00-015,MICRAG,N,2.0
AAAxcCAAEAAACfdAB4,025388-62/00-015,MICRAR,N,1.0
AAAxcCAAEAAACfdAB5,025388-62/00-015,CLETGL,N,3.0
AAAxcCAAEAAACfdAB6,025388-62/00-016,MICRAG,N,2.0
AAAxcCAAEAAACfdAB7,034560-60/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdAB8,034560-61/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdAB9,034560-62/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdAB+,034560-63/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdAB/,034560-66/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACA,034560-69/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACB,034560-72/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACC,034560-73/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACD,034560-74/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACE,034560-75/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACF,034560-76/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACG,034560-77/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACH,034560-78/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACI,034560-79/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACJ,034560-80/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACK,034560-81/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACL,034560-83/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACM,034560-84/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACN,034560-85/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACO,034560-86/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACP,034560-87/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACQ,034560-88/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACR,034560-89/04-006,PEROPA,N,1.0
AAAxcCAAEAAACfdACS,034560-60/04-007,FXBFXX,N,1.0
AAAxcCAAEAAACfdACT,034560-61/04-007,FXBFXX,N,1.0
