m_row$$,kennr,versuchsbez,zul_erstmalig_am,mittelname,formulierung_art,zul_ende,mittel_mit_geringem_risiko
AAAxdIAAEAAAA1MAAL,006339-60,14107-17190-I-0-UL,2016-07-28T22:00:00Z,INSEKTENIL- VoraProtectULV-Profi,UL,2026-10-30T23:00:00Z,
AAAxdIAAEAAAA1MAAM,006339-61,14107-17190-I-0-UL,2016-07-28T22:00:00Z,microsol-SP 3000 ULV-RTU,UL,2026-10-30T23:00:00Z,
AAAxdIAAEAAAA1MAAN,024785-72,NEU-21161-I-2-AL,2016-07-28T22:00:00Z,Bayer Garten Orchideen-Spray Lizetan AF,AL,2027-03-30T22:00:00Z,
AAAxdIAAEAAAA1MAAO,024785-67,NEU-21161-I-2-AL,2016-07-28T22:00:00Z,Bayer Garten Bio-Schädlingsfrei Akut AF,AL,2027-03-30T22:00:00Z,
AAAxdIAAEAAAA1MAAP,024785-63,NEU-21161-I-2-AL,2016-07-28T22:00:00Z,Bayer Garten Bio-Schädlingsfrei AF,AL,2027-03-30T22:00:00Z,
AAAxdIAAEAAAA1MAAQ,024785-73,NEU-21161-I-2-AL,2016-07-28T22:00:00Z,Bayer Garten Zierpflanzen- & Rosen-Spray Lizetan AF,AL,2027-03-30T22:00:00Z,
AAAxdIAAEAAAA1MAAR,024213-73,CEL-11112-AI-1-EW,2017-06-28T22:00:00Z,Celaflor Schädlingsfrei Obst & Gemüse,EW,2027-03-30T22:00:00Z,
AAAxdIAAEAAAA1MAAS,024213-74,CEL-11112-AI-1-EW,2017-06-28T22:00:00Z,Celaflor Schädlingsfrei Rosen,EW,2027-03-30T22:00:00Z,
AAAxdIAAEAAAA1MAAT,043743-68,CEL-11111-AI-1-EC,2017-06-28T22:00:00Z,Celaflor Schädlingsfrei Zierpflanzen Konzentrat,EC,2027-12-30T23:00:00Z,
AAAxdIAAEAAAA1NAAA,008201-60,FRU-00250-M-0-RB,2019-07-17T22:00:00Z,ETISSO FERREX,RB,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1NAAB,024353-61,SYD-96430-F-0-EC,2017-09-07T22:00:00Z,MAVITA 250 EC,EC,2027-03-14T23:00:00Z,
AAAxdIAAEAAAA1NAAC,024645-65,NEU-01170-H-0-EC,2018-08-26T22:00:00Z,MOOS-FREI ORGANIC,EC,2027-11-30T23:00:00Z,
AAAxdIAAEAAAA1NAAD,024645-67,NEU-01170-H-0-EC,2018-08-26T22:00:00Z,UNKRAUT-FREI ORGANIC,EC,2027-11-30T23:00:00Z,
AAAxdIAAEAAAA1NAAE,008384-60,SHP-64267-H-0-OD,2019-02-20T23:00:00Z,NICORON,OD,2028-03-30T22:00:00Z,
AAAxdIAAEAAAA1NAAF,025287-60,BAY-14120-F-2-EC,2018-06-07T22:00:00Z,Curbatur,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA1NAAG,008038-60,FIN-00500-W-0-ST,2018-06-07T22:00:00Z,Falgro Tablet,ST,2026-07-14T22:00:00Z,
AAAxdIAAEAAAA1NAAH,026682-60,NEU-1181-M-0-RB,2018-11-25T23:00:00Z,Molluxx,RB,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1NAAI,00A504-60,11490-06487-H-1-EC,2021-02-11T23:00:00Z,KENDO CLASSIC,EC,2028-01-30T23:00:00Z,
AAAxdIAAEAAAA1NAAJ,060122-89,CEL-01690-H-1-GR,2019-08-22T22:00:00Z,Landfuxx Premium Q7 Rasendünger mit Unkrautvernichter,GR,2026-12-30T23:00:00Z,
AAAxdIAAEAAAA1NAAK,044044-60,ADD-03090-H-3-SL,2021-01-06T23:00:00Z,Profi 360 TF,SL,2026-12-14T23:00:00Z,
AAAxdIAAEAAAA1NAAL,008034-60,13318-53001-H-0-WG,2021-01-18T23:00:00Z,RimCa 25 WG,WG,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA1NAAM,027820-61,COM-50321-H-0-GR,2021-01-24T23:00:00Z,COMPO Rasendünger gegen Unkraut + Moos,GR,2026-12-30T23:00:00Z,
AAAxdIAAEAAAA1NAAN,006275-64,THG-50202-H-0-GR,2021-01-24T23:00:00Z,COMPO Rasendünger mit Moosvernichter,GR,2027-08-30T22:00:00Z,
AAAxdIAAEAAAA1NAAO,00A076-60,SYD-7254-H-0-SL,2021-01-28T23:00:00Z,Mais Banvel Flüssig,SL,2026-12-30T23:00:00Z,
AAAxdIAAEAAAA1NAAP,00A657-60,14019-00657-F-0-EC,2021-01-28T23:00:00Z,Bolt,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA1NAAQ,00A657-61,14019-00657-F-0-EC,2021-01-28T23:00:00Z,Corrib,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA1NAAR,00A657-62,14019-00657-F-0-EC,2021-01-28T23:00:00Z,Dagda,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA1NAAS,007863-61,ZAK-00800-F-0-SC,2019-04-25T22:00:00Z,Sulphuris 800 SC,SC,2026-04-14T22:00:00Z,
AAAxdIAAEAAAA1NAAT,025388-62,FRU-10200-R-0-RB,2019-09-18T22:00:00Z,Ratron Gift-Linsen Forst,RB,2027-12-30T23:00:00Z,
AAAxdIAAEAAAA1NAAU,034066-62,10061-01903-H-1-SL,2021-06-21T22:00:00Z,Darby,SL,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1OAAA,034066-63,10061-01903-H-1-SL,2021-06-21T22:00:00Z,Stapler,SL,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1OAAB,007825-64,DEO-01071-M-0-RB,2021-06-21T22:00:00Z,Schneckenkorn Blau,RB,2027-08-30T22:00:00Z,
AAAxdIAAEAAAA1OAAC,00A590-60,13559-00001-H-0-EC,2021-12-01T23:00:00Z,Tandus EC,EC,2028-02-14T23:00:00Z,
